Key,Sensitivity,Factor,Case
VOCCO - near_field,13.43320782458536,VOCCO,near_field
VOCCO - near_field,13.389615720580252,VOCCO,near_field
VOCCO - near_field,13.70042396456335,VOCCO,near_field
VOCCO - near_field,14.126085844177435,VOCCO,near_field
VOCCO - near_field,14.252585106947604,VOCCO,near_field
VOCCO - near_field,15.208634467119243,VOCCO,near_field
VOCCO - near_field,14.064825746135789,VOCCO,near_field
VOCCO - near_field,13.08725627404362,VOCCO,near_field
VOCCO - near_field,15.244165942812126,VOCCO,near_field
VOCCO - near_field,13.075036315887251,VOCCO,near_field
VOCCO - near_field,13.535859893794544,VOCCO,near_field
VOCCO - near_field,12.455664879676482,VOCCO,near_field
VOCCO - far_field,6.835727793827182,VOCCO,far_field
VOCCO - far_field,6.834856081538649,VOCCO,far_field
VOCCO - far_field,6.763961225985282,VOCCO,far_field
VOCCO - far_field,6.792927237262866,VOCCO,far_field
VOCCO - far_field,6.773842712551267,VOCCO,far_field
VOCCO - far_field,6.8206287862444075,VOCCO,far_field
VOCCO - far_field,6.75980288866688,VOCCO,far_field
VOCCO - far_field,6.865346113353833,VOCCO,far_field
VOCCO - far_field,6.807909512350253,VOCCO,far_field
VOCCO - far_field,6.817781948738141,VOCCO,far_field
VOCCO - far_field,6.816251325636982,VOCCO,far_field
VOCCO - far_field,6.80211087673652,VOCCO,far_field
VOCCO - far_field,6.840701559512147,VOCCO,far_field
VOCCO - far_field,6.836998850503043,VOCCO,far_field
VOCCO - far_field,6.785369772279947,VOCCO,far_field
VOCCO - far_field,6.832660991842186,VOCCO,far_field
VOCCO - far_field,6.796206283740918,VOCCO,far_field
VOCCO - far_field,6.830780759866789,VOCCO,far_field
VOCCO - far_field,6.809404977200417,VOCCO,far_field
VOCCO - far_field,6.837352218999463,VOCCO,far_field
VOCCO - far_field,6.789683418608062,VOCCO,far_field
VOCCO - far_field,6.837040512567553,VOCCO,far_field
VOCCO - far_field,6.826450803479355,VOCCO,far_field
VOCCO - far_field,6.764015170400369,VOCCO,far_field
VOCCO - far_field,6.772691340286798,VOCCO,far_field
VOCCO - far_field,6.832480683677895,VOCCO,far_field
VOCCO - far_field,6.8612871241647735,VOCCO,far_field
VOCCO - far_field,6.807511020468598,VOCCO,far_field
VOCCO - far_field,6.8055127931114825,VOCCO,far_field
VOCCO - far_field,6.853977033100601,VOCCO,far_field
VOCCO - far_field,6.83268530137895,VOCCO,far_field
VOCCO - far_field,6.805085814626847,VOCCO,far_field
VOCCO - far_field,6.867444653927279,VOCCO,far_field
VOCCO - far_field,6.794593958759653,VOCCO,far_field
VOCCO - far_field,6.812454831185096,VOCCO,far_field
VOCCO - far_field,6.837344957856014,VOCCO,far_field
VOCCO - far_field,6.837333222187702,VOCCO,far_field
VOCCO - far_field,6.869340494730925,VOCCO,far_field
VOCCO - far_field,6.85966262722498,VOCCO,far_field
VOCCO - far_field,6.843616169113855,VOCCO,far_field
VOCCO - far_field,6.867886466091616,VOCCO,far_field
VOCCO - far_field,6.815470864050228,VOCCO,far_field
VOCCO - far_field,6.819386815336543,VOCCO,far_field
VOCCO - far_field,6.734594257924324,VOCCO,far_field
VOCCO - far_field,6.850171833757591,VOCCO,far_field
VOCCO - far_field,6.814069017728229,VOCCO,far_field
VOCCO - far_field,6.852986791846934,VOCCO,far_field
VOCCO - far_field,6.789801836643205,VOCCO,far_field
VOCCO - far_field,6.759317669003127,VOCCO,far_field
VOCCO - far_field,6.7896417073073305,VOCCO,far_field
VOCCO - far_field,6.840945583250695,VOCCO,far_field
VOCCO - far_field,6.847731493556515,VOCCO,far_field
VOCCO - far_field,6.80799163779327,VOCCO,far_field
VOCCO - far_field,6.848251452262606,VOCCO,far_field
VOCCO - far_field,6.790546770740517,VOCCO,far_field
VOCCO - far_field,6.846203170683799,VOCCO,far_field
VOCCO - far_field,6.831180501676528,VOCCO,far_field
VOCCO - far_field,6.836617901510921,VOCCO,far_field
VOCCO - far_field,6.842024086586383,VOCCO,far_field
VOCCO - far_field,6.835510680412629,VOCCO,far_field
VOCCO - far_field,6.871138906414422,VOCCO,far_field
VOCCO - far_field,6.855433498121057,VOCCO,far_field
VOCCO - far_field,6.819045700335338,VOCCO,far_field
VOCCO - far_field,6.749036044643476,VOCCO,far_field
VOCCO - far_field,6.774118500563257,VOCCO,far_field
VOCCO - far_field,6.852294392385329,VOCCO,far_field
VOCCO - far_field,6.787481012322276,VOCCO,far_field
VOCCO - far_field,6.825290802293706,VOCCO,far_field
VOCCO - far_field,6.836839159487652,VOCCO,far_field
VOCCO - far_field,6.812150113956987,VOCCO,far_field
VOCCO - far_field,6.8283525881661715,VOCCO,far_field
VOCCO - far_field,6.845384048593532,VOCCO,far_field
VOCCO - far_field,6.831097817763587,VOCCO,far_field
VOCCO - far_field,6.861917341021791,VOCCO,far_field
VOCCO - far_field,6.760672094251232,VOCCO,far_field
VOCCO - far_field,6.826151392290657,VOCCO,far_field
VOCCO - far_field,6.869950391649822,VOCCO,far_field
VOCCO - far_field,6.827114861934973,VOCCO,far_field
VOCCO - far_field,6.854351339252448,VOCCO,far_field
VOCCO - far_field,6.848505929456825,VOCCO,far_field
VOCCO - far_field,6.835886133060428,VOCCO,far_field
VOCCO - far_field,6.8224684394693735,VOCCO,far_field
VOCCO - far_field,6.825684697520497,VOCCO,far_field
VOCCO - far_field,6.835721314648591,VOCCO,far_field
VOCCO - far_field,6.77075409523485,VOCCO,far_field
VOCCO - far_field,6.806203649272386,VOCCO,far_field
VOCCO - far_field,6.84535680304107,VOCCO,far_field
VOCCO - far_field,6.840375406565562,VOCCO,far_field
VOCCO - far_field,6.804865190314289,VOCCO,far_field
VOCCO - far_field,6.822001356575475,VOCCO,far_field
VOCCO - far_field,6.827446453938447,VOCCO,far_field
VOCCO - far_field,6.798048646984724,VOCCO,far_field
VOCCO - far_field,6.821443849426581,VOCCO,far_field
VOCCO - far_field,6.8366518515556605,VOCCO,far_field
VOCCO - far_field,6.797180717458157,VOCCO,far_field
VOCCO - far_field,6.852291058655209,VOCCO,far_field
VOCCO - far_field,6.796068191304237,VOCCO,far_field
VOCCO - far_field,6.826958485995854,VOCCO,far_field
VOCCO - far_field,6.845118760222994,VOCCO,far_field
VOCCO - far_field,6.848075980953905,VOCCO,far_field
VOCCO - toe,217.09874918578413,VOCCO,toe
VOCCO - toe,194.4124318892983,VOCCO,toe
VOCCO - toe,204.15680968959862,VOCCO,toe
VOCCO - toe,193.42082611225902,VOCCO,toe
VOCCO - toe,176.34615667486227,VOCCO,toe
VOCCO - toe,194.78209418107085,VOCCO,toe
VOCCO - toe,194.9927389694904,VOCCO,toe
VOCCO - toe,199.70584917756662,VOCCO,toe
VOCCO - toe,205.57147954463133,VOCCO,toe
VOCCO - toe,209.77009604732802,VOCCO,toe
VOCCO - toe,201.34521664120695,VOCCO,toe
VOCCO - toe,183.80375049715937,VOCCO,toe
VOCCO - toe,175.8212772466776,VOCCO,toe
VOCCO - toe,189.52429104038433,VOCCO,toe
VOCCO - toe,199.72148089636622,VOCCO,toe
VOCCO - toe,204.81629700877573,VOCCO,toe
VOCCO - toe,207.65450500708806,VOCCO,toe
VOCCO - toe,191.11415813305155,VOCCO,toe
VOCCO - toe,187.5949393833537,VOCCO,toe
VOCCO - toe,206.3966109346033,VOCCO,toe
VOCCO - toe,192.80721697519257,VOCCO,toe
VOCCO - toe,192.72639203595844,VOCCO,toe
VOCCO - toe,185.00819701572843,VOCCO,toe
VOCCO - toe,201.4504019186998,VOCCO,toe
VOCCO - toe,197.19375924514742,VOCCO,toe
VOCCO - toe,184.89789381935617,VOCCO,toe
VOCCO - toe,185.530610366736,VOCCO,toe
