CoreName,Definition,Chemical Formula,CAS Number,Specificity,Category
x3Me1PenteneAnd4Me1 Pentene,Sum of 3-Methyl-1-pentene and 4-Methyl-1-pentene,C6H12,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2Me2Pentene,2-Methyl-2-pentene,C6H12,625-27-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Z3Me2Pentene,(Z)-3-Methyl-2-pentene,C6H12,922-62-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
E3Me2Pentene,(E)-3-Methyl-2-pentene,C6H12,616-12-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3Me2Pentenes,Sum of (Z)-3-Methyl-2-pentene and (E)-3-Methyl-2-pentene,C6H12,922-61-2,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Z4Me2Pentene,(Z)-4-Methyl-2-pentene,C6H12,691-38-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
E4Me2Pentene,(E)-4-Methyl-2-pentene,C6H12,674-76-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x4Me2Pentenes,Sum of (Z)-4-Methyl-2-pentene and (E)-4-Methyl-2-pentene,C6H12,4461-48-7,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
CycHexane,Cyclohexane,C6H12,110-82-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
MeCycPentane,Methylcyclopentane,C6H12,96-37-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nHeptane,n-Heptane,C7H16,142-82-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2MeHexane,2-Methylhexane,C7H16,591-76-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3MeHexane,3-Methylhexane,C7H16,589-34-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x22DimePentane,"2,2-Dimethylpentane",C7H16,590-35-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x23DimePentane,"2,3-Dimethylpentane",C7H16,565-59-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x24DimePentane,"2,4-Dimethylpentane",C7H16,108-08-07,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x33DimePentane,"3,3-Dimethylpentane",C7H16,562-49-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Heptene,1-Heptene,C7H14,592-76-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
MeCycHexane,Methylcyclohexane,C7H14,108-87-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nOctane,n-Octane,C8H18,111-65-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x224TrimePentane,"2,2,4-Trimethylpentane",C8H18,540-84-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x234TrimePentane,"2,3,4-Trimethylpentane",C8H18,565-75-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2MeHeptane,2-Methylheptane,C8H18,592-27-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
